Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:04:36.80,678,Caleb Williams,M,USA,14/08/2023,"IJA, Virtual","IJA Database, https://www.youtube.com/watch?v=ubG4stsEwPw"
2,0:04:39.00,649,Henry Wellenstein,M,USA,23/05/2022,Time Trial,https://www.strava.com/activities/7136444528
3,0:04:42.00,620,Will Howard,M,USA,01/02/2003,"Atlanta, Georgia",http://www.atlantajugglers.org/aja-media/articles-by-our-members/86-joggling-world-record
4,0:04:43.00,611,Zach Prescott,M,USA,08/05/2018,Time Trial,https://www.runnersworld.com/runners-stories/a20732918/joggler-sets-a-world-record-in-the-mile/
5,0:04:43.80,611,Kirk Swenson,M,USA,26/07/1986,"IJA, San Jose",http://www.juggling.org/orgs/ija/champs.txt http://www.juggling.org/jw/86/3/joggling.html
6,0:04:47.00,575,Samuel Dean,M,USA,14/02/2026,MSRC Subzero 1 Mile,"https://www.movinshoesrc.com/_files/ugd/bed08b_edcfa7e6e17d48c4963243a19a51f131.pdf
https://www.strava.com/activities/17399323443/overview"
7,0:05:03.50,440,Scott Jenkins,M,GBR,31/08/2025,Time Trial - Corstorphine Club Champs,https://www.strava.com/activities/15647865208
8,0:05:06.00,417,Charlie Freeman,M,USA,22/08/2020,Time Trial,https://www.tiktok.com/@cfreeman77/video/6863613020333985029
9,0:05:06.00,417,Banks Helfrich,M,Unknown,20/07/1985,"IJA, Atlanta",http://www.juggling.org/orgs/ija/champs.txt
10,0:05:06.95,417,Jim Piaskowy,M,Unknown,21/07/1984,"IJA, Las Vegas",http://www.juggling.org/orgs/ija/champs.txt
11,0:05:13.00,365,Reese Edwards,M,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
12,0:05:13.76,365,Chris Edwin,M,GBR,17/05/2026,"British Joggler Meet Up, Leeds",https://youtu.be/yeAhMs8cxGs?si=zl-8Qt0RWwtn6bH9
13,0:05:15.94,351,Sean McLoughlin,M,Unknown,17/07/1982,"IJA, Santa Barbara",http://www.juggling.org/orgs/ija/champs.txt
14,0:05:16.00,344,Mike Hebebrand,M,USA,21/07/1990,"IJA, LA",http://www.juggling.org/orgs/ija/champs.txt
15,0:05:21.00,310,Stijn Westerbeek,M,NLD,08/08/2026,European Joggling Championships 2026 - Road Races,https://drive.google.com/file/d/1v5KXHNKD3UqQcFqTQ_POWGjEc5X8w7t7/view?usp=sharing
16,0:05:21.00,310,Aaron Scott,M,USA,14/07/2020,Time Trial,https://www.youtube.com/watch?v=OM97KJQIVAM
